ean,condition,price,currency,id_warehouse,count,price_cs,handling_time
8806091217868,,246,24.0,318199,0,,
4711081516859,,137,24.0,335632,5,,
4718017740760,,316,24.0,291882,0,,
4974019130446,,172,24.0,280615,2,,
4711081508014,,110,24.0,335628,5,,
4038986147354,,195,24.0,338611,0,,
8806092977044,,585,24.0,340197,0,,
4718017826594,,130,24.0,300780,5,,
4719072728625,,156,24.0,291438,5,,
8715946701554,,275,24.0,345586,5,,
4713435799130,,47,24.0,143386,1,,
4713218461209,,117,24.0,217744,5,,
3660619404872,,79,24.0,271850,5,,
4719331814878,,115,24.0,312438,2,,
4895106282148,,107,24.0,212978,5,,
5397184409541,,543,24.0,308474,5,,
5901292514624,,226,24.0,312986,5,,
8718863028353,,550,24.0,315172,5,,
8718863028537,,557,24.0,315165,5,,
8718863034538,,1308,24.0,351058,5,,
8806092010673,,309,24.0,297301,0,,
8718863028261,,275,24.0,315162,0,,
8806090295546,,92,24.0,298701,5,,
4260052188156,,95,24.0,316457,5,,
4719072748739,,306,24.0,324783,0,,
4719072850029,,448,24.0,324650,5,,
4719331552541,,103,24.0,344484,0,,
4718755086571,,168,24.0,345752,0,,
4719072817664,,137,24.0,347751,5,,
8594214630136,,467,24.0,351193,0,,
4711081936732,,223,24.0,357476,1,,
5397184409459,,383,24.0,321532,2,,
8594214630051,,2134,24.0,342143,0,,
8718863033814,,130,24.0,351047,5,,
4719331834999,,105,24.0,340154,5,,
8594214630150,,550,24.0,357793,5,,
4711081950745,,1291,24.0,360607,0,,
8806091246400,,168,24.0,322013,0,,
5397184656860,,218,24.0,350430,5,,
4719331831752,,125,24.0,340155,2,,
4711081125815,,82,24.0,311768,2,,
4711081514787,,82,24.0,335623,4,,
8718863033791,,153,24.0,351046,5,,
5901292517144,,209,24.0,335450,5,,
4719331309312,,354,24.0,321809,5,,
4718017750264,,214,24.0,289967,5,,
8806091636966,,206,24.0,346671,0,,
5397184505144,,159,24.0,321981,5,,
4711081532873,,163,24.0,335631,5,,
8806084672315,,168,24.0,218600,5,,
4718017603614,,388,24.0,290012,5,,
4711081605430,,196,24.0,354351,3,,
8806090969362,,106,24.0,250838,5,,
4711081023722,,368,24.0,348167,1,,
8594214630037,,1342,24.0,347904,0,,
4038986149594,,94,24.0,317283,5,,
8718863028278,,395,24.0,315171,5,,
8806091646279,,516,24.0,345897,5,,
5901292516581,,123,24.0,327649,5,,
4712900743333,,91,24.0,213795,0,,
4711081368403,,171,24.0,343874,5,,
8715946698229,,89,24.0,345577,5,,
4719331308810,,1129,24.0,320578,1,,
4718017263818,,151,24.0,262208,3,,
4719331827854,,153,24.0,332342,1,,
4719331827922,,172,24.0,332348,0,,
4719331815486,,126,24.0,312442,0,,
8806090312434,,68,24.0,286812,5,,
4895106292437,,343,24.0,345687,1,,
4718017485395,,164,24.0,283912,1,,
8715946540474,,406,24.0,165279,4,,
4719072910037,,89,24.0,348732,5,,
8806091218575,,337,24.0,313743,5,,
8712581746025,,103,24.0,235587,1,,
4711081521501,,172,24.0,335638,5,,
4711081305705,,130,24.0,332930,1,,
9120072371875,,120,24.0,346084,1,,
4719331304454,,249,24.0,254535,0,,
8715946679785,,109,24.0,345578,5,,
5055862332450,,169,24.0,338599,5,,
4549292151268,,695,24.0,281237,1,,
4719072921460,,138,24.0,336102,5,,
4719331814496,,128,24.0,312432,0,,
8806090969386,,137,24.0,221161,5,,
4719072850760,,591,24.0,328005,3,,
4711081941033,,368,24.0,357467,1,,
8806091101433,,285,24.0,345901,5,,
4719072722340,,103,24.0,287845,1,,
5901292511210,,154,24.0,302878,5,,
8806090452437,,151,24.0,300130,5,,
5901292514594,,285,24.0,302903,5,,
4895106290662,,317,24.0,329699,0,,
4718017623544,,110,24.0,289973,5,,
4719512095140,,80,24.0,293250,2,,
4719512072165,,172,24.0,242180,0,,
4719072754266,,114,24.0,313040,1,,
4718017758284,,86,24.0,289977,0,,
4549292186550,,223,24.0,343353,1,,
4719512080269,,69,24.0,257361,2,,
4713883549714,,189,24.0,234332,5,,
4719072902940,,175,24.0,348042,5,,
4038986149600,,96,24.0,317279,1,,
4719331828455,,187,24.0,336843,0,,
4719331309350,,365,24.0,322095,5,,
8806092014794,,206,24.0,270817,1,,
4711081453314,,161,24.0,332473,4,,
4713218460394,,49,24.0,217741,5,,
4719072912444,,127,24.0,344941,0,,
4711081154273,,79,24.0,359430,5,,
5397184567630,,328,24.0,337076,5,,
0239425302370,,48,24.0,110669,5,,
8715946633862,,103,24.0,238165,5,,
4719331311520,,1325,24.0,361464,5,,
4719512087381,,87,24.0,287500,2,,
8806090961892,,102,24.0,297450,5,,
4719072924980,,68,24.0,351336,2,,
4710636268915,,44,24.0,184595,0,,
4719331310691,,296,24.0,344557,0,,
4718755085840,,337,24.0,335062,1,,
8806091613059,,1445,24.0,345841,5,,
4548736138544,,860,24.0,348956,3,,
4548736137042,,1893,24.0,348960,5,,
4260183364085,,86,24.0,272436,4,,
4718017521741,,75,24.0,285582,1,,
4549292090741,,61,24.0,229869,5,,
8806090351679,,103,24.0,286817,5,,
4718017924665,,75,24.0,299915,5,,
