Product ID (EAN/UPC/ISBN/ISSN/Allegro Product ID),Main Category,Leaf Category,Reference number/Seller SKU,Quantity,Price,Title,Images,Offer Description,Shipping Price List
4711081516859,,,335632,5,646,,,,
4718017740760,,,291882,0,1486,,,,
4974019130446,,,280615,2,808,,,,
4711081508014,,,335628,5,517,,,,
4038986147354,,,338611,0,920,,,,
8806092977044,,,340197,0,2747,,,,
4718017826594,,,300780,5,614,,,,
4719072728625,,,291438,5,736,,,,
8715946701554,,,345586,5,1292,,,,
4713435799130,,,143386,1,223,,,,
4713218461209,,,217744,5,549,,,,
3660619404872,,,271850,5,371,,,,
4719331814878,,,312438,2,540,,,,
4895106282148,,,212978,5,505,,,,
5397184409541,,,308474,5,2553,,,,
5901292514624,,,312986,5,1065,,,,
8718863028353,,,315172,5,2586,,,,
8718863028537,,,315165,5,2618,,,,
8718863034538,,,351058,5,6144,,,,
8806092010673,,,297301,0,1454,,,,
8718863028261,,,315162,0,1292,,,,
8806090295546,,,298701,5,436,,,,
4260052188156,,,316457,5,446,,,,
4719072748739,,,324783,0,1437,,,,
4719072850029,,,324650,5,2106,,,,
4719331552541,,,344484,0,485,,,,
4718755086571,,,345752,0,790,,,,
4719072817664,,,347751,5,645,,,,
8594214630136,,,351193,0,2197,,,,
4711081936732,,,357476,1,1049,,,,
5397184409459,,,321532,2,1799,,,,
8594214630051,,,342143,0,10025,,,,
8718863033814,,,351047,5,612,,,,
4719331834999,,,340154,5,497,,,,
8594214630150,,,357793,5,2586,,,,
4711081950745,,,360607,0,6064,,,,
8806091246400,,,322013,0,790,,,,
5397184656860,,,350430,5,1028,,,,
4719331831752,,,340155,2,589,,,,
4711081125815,,,311768,2,388,,,,
4711081514787,,,335623,4,386,,,,
8718863033791,,,351046,5,719,,,,
5901292517144,,,335450,5,984,,,,
4719331309312,,,321809,5,1664,,,,
4718017750264,,,289967,5,1009,,,,
8806091636966,,,346671,0,968,,,,
5397184505144,,,321981,5,748,,,,
4711081532873,,,335631,5,768,,,,
8806084672315,,,218600,5,790,,,,
4718017603614,,,290012,5,1826,,,,
4711081605430,,,354351,3,921,,,,
8806090969362,,,250838,5,502,,,,
4711081023722,,,348167,1,1728,,,,
8594214630037,,,347904,0,6305,,,,
4038986149594,,,317283,5,444,,,,
8718863028278,,,315171,5,1858,,,,
8806091646279,,,345897,5,2424,,,,
5901292516581,,,327649,5,580,,,,
4712900743333,,,213795,0,428,,,,
4711081368403,,,343874,5,807,,,,
8715946698229,,,345577,5,418,,,,
4719331308810,,,320578,1,5305,,,,
4718017263818,,,262208,3,711,,,,
4719331827854,,,332342,1,720,,,,
4719331827922,,,332348,0,810,,,,
4719331815486,,,312442,0,595,,,,
8806090312434,,,286812,5,323,,,,
4895106292437,,,345687,1,1615,,,,
4718017485395,,,283912,1,774,,,,
8715946540474,,,165279,4,1906,,,,
4719072910037,,,348732,5,419,,,,
8806091218575,,,313743,5,1583,,,,
8712581746025,,,235587,1,483,,,,
4711081521501,,,335638,5,808,,,,
4711081305705,,,332930,1,614,,,,
9120072371875,,,346084,1,564,,,,
4719331304454,,,254535,0,1172,,,,
8715946679785,,,345578,5,515,,,,
5055862332450,,,338599,5,793,,,,
4549292151268,,,281237,1,3265,,,,
4719072921460,,,336102,5,650,,,,
4719331814496,,,312432,0,603,,,,
