INFO:root:fetched web pages and saved to /shop/*.html
INFO:root:scraping the web page for data: https://www.czc.cz/be-quiet-pure-power-11-fm-650w/316457/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-gaming-optix-mag301cr2-29-5/324783/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-geforce-rtx-3060-ti-gaming-x-8g-lhr-8gb-gddr6/324650/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-ud850gm-850w/344484/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/benq-mobiuz-ex2510s-led-monitor-24-5/345752/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-modern-md271pw-led-monitor-27/347751/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/czc-office-ocb025-stolni-pc/351193/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-prime-z790-p-d4-ddr4-intel-z790/357476/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/dell-s3422dw-led-monitor-34/321532/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/czc-paladin-gc132-comic-con-edition/342143/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-32phs5507-81cm/351047/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-b660-ds3h-ddr4-intel-b660/340154/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/czc-office-ocb026-stolni-pc/357793/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-geforce-rtx-4080-16gb-gddr6x/360607/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-32mp60g-b-led-monitor-31-5/322013/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/dell-se2723ds-led-monitor-27/350430/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-b660-gaming-x-ddr4-intel-b660/340155/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-prime-h510m-a-wifi-intel-h510/311768/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-prime-h610m-e-d4-ddr4-intel-h610/335623/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-24phs5507-60cm/351046/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/tcl-40s5200-100cm/335450/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-3060-gaming-oc-12g-rev-2-0-lhr-12gb-gddr6/321809/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-rog-strix-b550-e-gaming-amd-b550/289967/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-32lq630b6la-80cm/346671/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/dell-professional-p2222h-led-monitor-22/321981/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-b660-plus-wifi-d4-ddr4-intel-b660/335631/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-27bk550y-led-monitor-27/218600/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-proart-pa278qv-led-monitor-27/290012/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-rog-strix-b660-a-gaming-wifi-intel-b660/354351/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-c24f396f-led-monitor-24/250838/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-vg32vqr-led-monitor-31-5/348167/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/czc-gaming-knight-gc151-herni-pc-powered-by-msi/347904/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/aoc-24b2xhm2-led-monitor-23-8/317283/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-65pus7506-165cm/315171/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-65uq75003lf-164cm/345897/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/tcl-32d4300-80cm/327649/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-geforce-gt1030-sl-2g-brk-2gb-gddr5/213795/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-vt168hr-led-monitor-15-6/343874/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/epson-expression-home-xp-5150/345577/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-3080-ti-vision-oc-12g-lhr-12gb-gddr6x/320578/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-prime-x570-p-amd-x570/262208/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z690-ud-ddr4-intel-z690/332342/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z690-ud-intel-z690/332348/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z590i-vision-d-intel-z590/312442/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-t7-500gb-modra/286812/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/sapphire-pulse-radeon-rx-6650-xt-8gb-gddr6/345687/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-gaming-vg249q-led-monitor-24/283912/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/epson-l850-tankovy-system/165279/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-pro-mp241x-led-monitor-23-8/348732/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-55up7500-139cm/313743/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/philips-243v7qjabf-led-monitor-23-8/235587/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-rog-strix-b660-a-gaming-wifi-d4-ddr4-intel-b660/335638/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-b550m-plus-wifi-ii-amd-b550/332930/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/strong-srt24hc3023-60cm/346084/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-gtx-1660-ti-oc-6g-6gb-gddr6/254535/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/epson-workforce-pro-wf-3820dwf/345578/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/toshiba-32wa2063dg-80cm/338599/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/canon-eos-850d-telo/281237/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-pro-b660m-a-ddr4-intel-b660/336102/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z590-vision-g-intel-z590/312432/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-c27f396-led-monitor-27/221161/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-geforce-rtx-3070-ventus-2x-8g-oc-lhr-8gb-gddr6/328005/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-rog-strix-z790-a-gaming-wifi-d4-ddr4-intel-z790/357467/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-43uq75003lf-108cm/345901/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-z490-a-pro-intel-z490/287845/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/thomson-32hd3306-80cm/302878/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-ue32t4002-80cm/300130/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/thomson-55ug6300-139cm/302903/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/sapphire-radeon-pulse-rx-6600-8gb-gddr6/329699/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-b550m-plus-amd-b550/289973/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/cooler-master-masterbox-k500-argb-cerna/293250/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/cooler-master-mastercase-h500m-kovove-seda/242180/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-mpg-a750gf-750w/313040/produkt
