sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;discount-start-date;discount-end-date;discount-price;update-delete;fulfillment-latency;shipping-warehouse
293250;210804392;SKU;;;102.00;;3;;11;;;F;;;;update;;
242180;205206366;SKU;;;219.00;;3;;11;;;;;;;update;;
313040;210474667;SKU;;;155.00;;2;;11;;;E;;;;update;;
311881;211077914;SKU;;;56.00;;5;;11;;;;;;;update;;
289977;209975450;SKU;;;119.00;;5;;11;;;D;;;;update;;
343353;304869618;SKU;;;249.00;;1;;11;;;;;;;update;;
257361;303650712;SKU;;;84.00;;3;;11;;;;;;;update;;
234332;204719374;SKU;;;229.00;;5;;11;;;G;;;;update;;
348042;303999467;SKU;;;209.00;;5;;11;;;D;;;;update;;
317279;211114994;SKU;;;119.00;;1;;11;;;;;;;update;;
362308;304900554;SKU;;;169.00;;5;;11;;;F;;;;update;;
336843;304465633;SKU;;;229.00;;3;;11;;;D;;;;update;;
322095;213762308;SKU;;;445.00;;5;;11;;;F;;;;update;;
270817;212404678;SKU;;;249.00;;5;;11;;;G;;;;update;;
332473;304008653;SKU;;;209.00;;5;;11;;;D;;;;update;;
217741;204176490;SKU;;;59.00;;4;;11;;;;;;;update;;
344941;304594762;SKU;;;169.00;;4;;11;;;D;;;;update;;
359430;212842015;SKU;;;129.00;;5;;11;;;D;;;;update;;
337076;303898779;SKU;;;359.00;;5;;11;;;G;;;;update;;
110669;101011990;SKU;;;55.00;;5;;11;;;C;;;;update;;
238165;204004707;SKU;;;125.00;;5;;11;;;G;;;;update;;
361464;307130340;SKU;;;1692.00;;5;;11;;;;;;;update;;
219013;203973384;SKU;;;51.00;;5;;11;;;;;;;update;;
287500;208421366;SKU;;;104.00;;2;;11;;;F;;;;update;;
297450;212306163;SKU;;;129.00;;2;;11;;;F;;;;update;;
351336;304475906;SKU;;;89.00;;3;;11;;;D;;;;update;;
184595;201424099;SKU;"Schede Video con Processore grafico / fornitore: NVIDIA, Processore grafico: GeForce GT 710, Frequenza del processore: 954 MHz. Memoria Grafica Dedicata: 2 GB, Tipo memoria adattatore grafico: GDDR3, Ampiezza dati: 64 bit, Velocità memoria: 1600 MHz. Risoluzione massima: 2560 x 1600 Pixel. Versione DirectX: 12.0, Versione OpenGL: 4.5, Dual Link DVI. Tipo interfaccia: PCI Express x8 2.0. Tipo di raffreddamento: Passivo. Colore del prodotto: Nero, Metallico.
Garanzia";;59.00;;5;2;11;;;;;;;update;;
344557;304589134;SKU;;;380.00;;4;;11;;;E;;;;update;;
335062;212941980;SKU;;;405.00;;3;;11;;;G;;;;update;;
345841;307062881;SKU;;;1859.00;;5;;11;;;;;;;update;;
348956;305567058;SKU;;;1079.00;;3;;11;;;L;;;;update;;
348960;305179354;SKU;;;2649.00;;5;;11;;;L;;;;update;;
272436;205551475;SKU;;;109.00;;5;;11;;;;;;;update;;
285582;209991871;SKU;;;99.00;;5;2;11;;;G;;;;update;;
229869;204001680;SKU;;;82.00;;5;;11;;;F;;;;update;;
286817;303854233;SKU;;;125.00;;5;;11;;;B;;;;update;;
299915;210659444;SKU;;;119.00;;0;;11;;;D;;;;update;;
332344;304485056;SKU;;;209.00;;0;;11;;;D;;;;update;;
340147;213613615;SKU;;;529.00;;5;2;11;;;;;;;update;;
340145;213516237;SKU;;;681.00;;5;;11;;;;;;;update;;
297513;210478626;SKU;;;249.00;;5;;11;;;G;;;;update;;
340163;305098236;SKU;;;155.00;;1;;11;;;D;;;;update;;
313092;304091962;SKU;;;859.00;;5;;11;;;;;;;update;;
358445;213611663;SKU;;;249.00;;2;;11;;;;;;;update;;
354215;305143453;SKU;;;129.00;;2;;11;;;;;;;update;;
323012;214290960;SKU;;;548.00;;5;2;11;;;D;;;;update;;
340151;304644867;SKU;;;109.00;;3;;11;;;D;;;;update;;
312445;212302661;SKU;;;149.00;;0;;11;;;D;;;;update;;
248788;206249252;SKU;;;62.00;;0;;11;;;G;;;;update;;
251984;207417872;SKU;;;249.00;;5;;11;;;F;;;;update;;
sklRB4a7s5b;307072102;SKU;;;1159.00;;1;;11;;;;;;;update;;
341510;212021712;SKU;;;249.00;;5;;11;;;;;;;update;;
324453;305180341;SKU;;;629.00;;0;;11;;;E;;;;update;;
228506;204442916;SKU;;;41.00;;0;;11;;;G;;;;update;;
295792;208955037;SKU;;;508.00;;2;;11;;;;;;;update;;
324462;214133349;SKU;;;545.00;;3;;11;;;F;;;;update;;
286810;303854232;SKU;;;125.00;;4;;11;;;;;;;update;;
271710;209833737;SKU;;;282.00;;0;;11;;;G;;;;update;;
289974;209975451;SKU;;;140.00;;5;;11;;;D;;;;update;;
315883;213478663;SKU;;;139.00;;0;2;11;;;;;;;update;;
287546;210138054;SKU;;;399.00;;1;;11;;;;;;;update;;
335448;304089143;SKU;;;249.00;;5;;11;;;;;;;update;;
225006;203760718;SKU;;;109.00;;5;;11;;;D;;;;update;;
324418;211920445;SKU;;;149.00;;0;2;11;;;E;;;;update;;
248792;206249256;SKU;;;79.00;;5;;11;;;;;;;update;;
358500;307044872;SKU;;;119.00;;5;;11;;;G;;;;update;;
